round,loss,accuracy
0,0.0234,0.4054
1,0.0230,0.4649
2,0.0225,0.5081
3,0.0219,0.6324
4,0.0210,0.7459
5,0.0200,0.7838
6,0.0187,0.8432
7,0.0173,0.8541
8,0.0161,0.8541
9,0.0151,0.8432
10,0.0143,0.8270
11,0.0138,0.8216
12,0.0135,0.8216
13,0.0132,0.8108
14,0.0131,0.8162
15,0.0130,0.8216
16,0.0129,0.8162
17,0.0129,0.8216
18,0.0128,0.8216
19,0.0128,0.8216
20,0.0129,0.8324
21,0.0129,0.8324
22,0.0129,0.8324
23,0.0130,0.8378
24,0.0130,0.8432
25,0.0130,0.8432
26,0.0130,0.8378
27,0.0131,0.8432
28,0.0131,0.8432
29,0.0131,0.8378
30,0.0132,0.8270
